學年期,系所名稱,"科目名稱(連結課程地圖)             備註 
             限選條件",教師姓名*:主負責老師,已選課人數/餘額,系所名稱_label,學分,必選修,時間,教室,類別_實習,類別_講義,數學_微積分,數學_代數,數學_幾何,數學_數值分析,數學_分析,統計_數據分析,統計_機率,統計_時間數列,統計_貝氏統計,電腦科學_深度學習,電腦科學_演算法,電腦科學_資料結構,電腦科學_人工智慧,電腦科學_程式設計,電機工程_電路設計,電機工程_電磁學,電機工程_模擬系統,測量_測量技術,測量_地圖繪製,測量_GPS定位,土木_結構設計,土木_工程施工,土木_建築學
0109-1,數學系 MATH,代數學（二）,章源慶,26/11,0,3, 選修,"[2]3~4,[4]2",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,初等分析,史習偉,224/18,0,3, 選修,"[3]8,[5]5~6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,複變數函數論,王業凱,541/4,0,3, 選修,"[1]8,[4]5~6",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,數值分析（一）,陳旻宏,48/12,0,3, 選修,"[2]7~8,[5]2",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,偏微分方程導論,方永富,30/10,0,3, 選修,"[1]5~6,[3]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,群表現導論,林牛,9/8,0,3, 選修,"[2]2,[5]3~4",數學系館 3175,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-1,數學系 MATH,黎曼面導論,賴青瑞,7/28,0,3, 選修,"[3]3~4,[5]2",數學系館 3175,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,微積分（二）,史習偉,55/25,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,線性代數（二）,賴青瑞,26/14,0,3, 必修,"[3]2,[5]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,線性代數（二）,柯文峰,40/額滿,0,3, 必修,"[3]2,[5]3~4",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,普通物理學（二）,游輝樟,59/1,0,3, 必修,"[2]3~4,[4]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,計算機概論與程式語言,沈士育,58/47,0,3, 必修,"[3]7~8,[5]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,高等微積分（二）,吳恭儉,74/6,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36206,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,代數學（二）,蕭仁傑,634/7,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,微分方程導論,連文璟,85/6,0,3, 必修,"[2]2,[4]3~4",共同教室 A1307(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,統計導論,黃郁芬,69/6,0,3, 選修,"[1]7~8,[4]5",理學教學大樓 36202,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,離散數學,黃柏嶧,50/45,0,3, 選修,"[2]7~8,[5]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,幾何學（一）,陳若淳,44/46,0,3, 選修,"[2]5~6,[4]6",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,應用分析,李國明,144/18,0,3, 選修,"[3]8,[5]5~6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,科學計算導論,劉育佑,29/6,0,3, 選修,"[2]2,[4]3~4",數學系館 3172;數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,傅立葉分析與應用,關汝琳,44/7,0,3, 選修,"[2]3~4,[4]2",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0109-2,數學系 MATH,代數曲線,夏杼,25/10,0,3, 選修,"[3]5~6,[5]5",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,微積分（一）,劉珈銘,81/9,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,數學導論,柯文峰,78/12,0,3, 必修,"[3]7~8,[5]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,普通物理學（一）,蔡錦俊,172/30,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,線性代數（一）,黃世昌,68/17,0,3, 必修,"[3]2,[5]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,體育（一）,楊書銘,50/50,0,0, 必修,[2]7~8,自強排球場 自強排球場,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,高等微積分（一）,史習偉,48/442,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,代數學（一）,林牛,62/18,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,機率導論,王業凱,634/2,0,3, 必修,"[2]2,[4]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,向量分析,高橋亮甫,442/8,0,3, 選修,"[2]7~8,[5]7",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,科學計算軟體,陳旻宏,442/3,0,3, 選修,"[1]8,[4]5~6",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,初等分析,吳恭儉,58/7,0,3, 選修,"[3]8,[5]5~6",理學教學大樓 36104,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,複變數函數論,陳若淳,446/4,0,3, 選修,"[2]6,[4]5~6",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,數值分析（一）,王辰樹,41/9,0,3, 選修,"[3]5,[5]3~4",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,數學建模,劉育佑,341/9,0,3, 選修,"[1]2~3,[3]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,動態系統,郭鴻文,32/3,0,3, 選修,"[2]7~8,[5]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,統計推論,黃郁芬,26/9,0,3, 選修,"[1]5~6,[3]7",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,拓樸學,劉之中,17/18,0,3, 選修,"[2]7~8,[5]7",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,偏微分方程導論,李國明,412/23,0,3, 選修,"[1]5~6,[3]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,黎曼面導論,賴青瑞,46/11,0,3, 選修,"[3]3~4,[5]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-1,數學系 MATH,應用數學（一）,許瑞麟,246/4,0,3, 選修,"[1]8,[2]3~4",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,微積分（二）,劉珈銘,844/4,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,線性代數（二）,黃世昌,69/12,0,3, 必修,"[3]2,[5]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,普通物理學（二）,蔡錦俊,165/12,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,計算機概論與程式語言,沈士育,65/10,0,3, 必修,"[3]7~8,[5]2",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,高等微積分（二）,史習偉,244/56,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,代數學（二）,林牛,54/246,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,微分方程導論,關汝琳,69/11,0,3, 必修,"[2]2,[4]3~4",共同教室 A1307(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,離散數學,黃柏嶧,640/4,0,3, 選修,"[1]8,[4]5~6",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,幾何學（一）,江孟蓉,32/13,0,3, 選修,"[2]5~6,[4]6",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,應用分析,連文璟,50/420,0,3, 選修,"[3]8,[5]5~6",理學教學大樓 36206,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,科學計算導論,劉育佑,33/7,0,3, 選修,"[2]2,[4]3~4",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,伽羅瓦理論入門,林牛,7/28,0,3, 選修,"[2]2,[5]3~4",數學系館 3174,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,傅立葉分析與應用,方永富,374/8,0,3, 選修,"[1]5~6,[3]7",數學系館 3173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0110-2,數學系 MATH,經典力學的數學方法,洪英志,3/32,0,3, 選修,"[2]7~8,[3]8",數學系館 3177,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,微積分（一）,方永富,64/26,0,4, 必修,"[1]2~3,[3]5~6",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,數學導論,林景隆,483/17,0,3, 必修,"[3]7~8,[5]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,普通物理學（一）,張泰榕,158/62,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,線性代數（一）,章源慶,72/13,0,3, 必修,"[3]2,[5]3~4",資訊大樓 格致廳小講堂,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,高等微積分（一）,劉之中,94/13,0,4, 必修,"[1]5~6,[3]3~4",理學教學大樓 36102,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,代數學（一）,彭勇寧,76/14,0,3, 必修,"[2]3~4,[4]2",理學教學大樓 36173,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,機率導論,方永富,62/18,0,3, 必修,"[2]2,[4]3~4",共同教室 A1307(資源後),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,離散數學,黃柏嶧,544/6,0,3, 選修,"[2]7~8,[5]7",數學系館 3172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0111-1,數學系 MATH,科學計算軟體,舒宇宸,55/5,0,3, 選修,"[1]8,[4]5~6",數學系館 3178,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
