學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0108-2,數學系 MATH,C1-106  C147400  [MATH3603],3,講義,統計推論,3  選修,黃郁芬,29/6,[2]7~8 數學系館 3173[3]N 數學系館 3173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C147400&class_code=
0108-2,數學系 MATH,C1-107  C137500  [MATH3708],3,講義,數據科學裡的矩陣方法,3  選修,王辰樹,18/17,[1]8 數學系館 3175[4]5~6 數學系館 3175,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C137500&class_code=
0108-2,數學系 MATH,C125000-Z4  [MATH],4,講義,通識課程,2  必修,,04/請參考備註,[4]7~8,Moodle,
0108-2,數學系 MATH,C1-152  C145500  [MATH5000],4,講義,伽羅瓦理論入門,3  選修,柯文峰,9/26,[1]5~6 數學系館 3175[3]7 數學系館 3175,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C145500&class_code=
0108-2,數學系 MATH,C1-153  C146100  [MATH5204],4,講義,傅立葉分析與應用,3  選修,關汝琳,422/13,[2]3~4 數學系館 3173[4]2 數學系館 3173,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C146100&class_code=
0108-2,數學系 MATH,C1-154  C121400  [MATH3707],4,講義,科學計算導論,3  選修,林敏雄,23/12,[2]2 數學系館 3172[4]3~4 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C121400&class_code=
0108-2,數學系 MATH,C1-155  C145600  [MATH5002],4,講義,計算代數,3  選修,蕭仁傑,20/15,[2]3~4 數學系館 3175[4]2 數學系館 3175,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=C145600&class_code=
0109-1,數學系 MATH,C111810-Z  [MATH],1,基礎國文,基礎國文（一）,2  必修,,0/請參考備註,[5]7~8,Moodle,
0109-1,數學系 MATH,A119110-Z5  [FLC6004],1,講義,外國語言（一）,2  必修,,0/請參考備註,[4]3~4,Moodle,
0109-1,數學系 MATH,C125000-Z1  [MATH],1,講義,通識課程,2  必修,,0/4請參考備註,[4]7~8,Moodle,
0109-1,數學系 MATH,C1-004  C115611-1  [MATH1113],1,講義,微積分（一）,4  必修,史習偉,69/16,[1]2~3 理學教學大樓 36102[3]5~6 理學教學大樓 36102,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=C115611&class_code=1
0109-1,,C115611-1  [MATH1113],1,實習,,,史習偉,,[1]1 理學教學大樓 36102,,
0109-1,數學系 MATH,C1-006  C111300-1  [MATH1131],1,講義,數學導論,3  必修,林育竹,73/27,[3]7 理學教學大樓 36102[5]1~2 理學教學大樓 36102,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=C111300&class_code=1
0109-1,數學系 MATH,C1-008  C115710  [PHYS1011],1,講義,普通物理學（一）,3  必修,游輝樟,564/15,[2]3~4 數學系館 3172[4]2 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=C115710&class_code=
0109-1,數學系 MATH,C1-009  C111211-1  [MATH1163],1,講義,線性代數（一）,3  必修,賴青瑞,37/413,[3]2 數學系館 3172[5]3~4 數學系館 3172,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0109&sem=1&co_no=C111211&class_code=1
